"","ï..Time","Time..pretty.","Total.Time","IP.Address","UID","Session.ID","Actions","Landing.page","Web.Browser","Operating.System","Screen.Resolution","JavaScript","Language","Referrer.URL","Referrer.Domain","Referrer.Search","Geolocation","Latitude","Longitude","Hostname","Organization","Campaign","Goals.completed","Goals.incompleted","Goal.revenue","Goal.cost","ShortURL","Custom","Stats.URL"
"2731",1597069267,"Mon Aug 10 2020, 10:21am",360,"0c56996e098a99fc",2236437649,4875308,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","320x676",1,"Arabic","","",NA,"Assiut, Egypt",27.181,31.1837,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875308"
"2732",1597069097,"Mon Aug 10 2020, 10:18am",60,"fa55242741af887a",3992376554,4875160,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 83.0 mobile","Android","360x640",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875160"
"2733",1597068843,"Mon Aug 10 2020, 10:14am",61,"b9b39380c79c6b6e",3558927925,4874936,1,"http://www.mshlwa7dek.org/egypt/v2wi.html","Safari 12.1 mobile","iPhone","375x667",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"","Etisalat Misr",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874936"
"2734",1597068784,"Mon Aug 10 2020, 10:13am",10,"e0d93669fb77e474",1604342573,4874889,1,"http://www.mshlwa7dek.org/egypt/v3wg.html","Google Chrome 83.0 mobile","Android","412x732",1,"French","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874889"
"2735",1597068677,"Mon Aug 10 2020, 10:11am",10,"9be58c8da3b4fb30",219339221,4874792,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 71.0 mobile","Android","360x760",1,"Arabic","","",NA,"Damanhur, Egypt",31.0321,30.4716,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874792"
"2736",1597068276,"Mon Aug 10 2020, 10:04am",481,"6bb07ee97831bb12",1767672703,4874452,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x640",1,"Arabic","","",NA,"Damietta, Egypt",31.4165,31.8133,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874452"
"2737",1597068180,"Mon Aug 10 2020, 10:03am",643,"99171bba23f865b1",2007894071,4874371,3,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 62.0 mobile","Android","360x772",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"","Etisalat Misr",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874371"
"2738",1597068176,"Mon Aug 10 2020, 10:02am",30,"63f6b573c710ccaa",3733913936,4874366,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 83.0 mobile","Android","320x640",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874366"
"2739",1597068173,"Mon Aug 10 2020, 10:02am",29,"0640bf4e29f1165e",3193075290,4874364,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 79.0 mobile","Android","412x892",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874364"
"2740",1597067948,"Mon Aug 10 2020, 9:59am",331,"9846af61c5f6dc1c",41001250,4874169,2,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","393x851",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"nile-online.net","Etisalat Misr",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4874169"
